lat,lon,date,time
38.62854585,-75.81997504,9/22/2020,10:46:01
38.62853762,-75.81997429,9/22/2020,10:46:02
38.6285294,-75.81997355,9/22/2020,10:46:03
38.62852118,-75.8199728,9/22/2020,10:46:04
38.62851295,-75.81997205,9/22/2020,10:46:05
38.62850473,-75.8199713,9/22/2020,10:46:06
38.62849651,-75.81997055,9/22/2020,10:46:07
38.62848829,-75.8199698,9/22/2020,10:46:08
38.62848006,-75.81996905,9/22/2020,10:46:09
38.62847184,-75.8199683,9/22/2020,10:46:10
38.62846362,-75.81996756,9/22/2020,10:46:11
38.62845539,-75.81996681,9/22/2020,10:46:12
38.62844717,-75.81996606,9/22/2020,10:46:13
38.62843895,-75.81996531,9/22/2020,10:46:14
38.62843073,-75.81996456,9/22/2020,10:46:15
38.6284225,-75.81996381,9/22/2020,10:46:16
38.62841428,-75.81996306,9/22/2020,10:46:17
38.62840606,-75.81996232,9/22/2020,10:46:18
38.62839784,-75.81996157,9/22/2020,10:46:19
38.62838961,-75.81996082,9/22/2020,10:46:20
38.62838139,-75.81996007,9/22/2020,10:46:21
38.62837335,-75.81996428,9/22/2020,10:46:22
38.6283653,-75.81996848,9/22/2020,10:46:23
38.62835726,-75.81997269,9/22/2020,10:46:24
38.62834922,-75.81997689,9/22/2020,10:46:25
38.62834117,-75.8199811,9/22/2020,10:46:26
38.62833313,-75.8199853,9/22/2020,10:46:27
38.62832509,-75.81998951,9/22/2020,10:46:28
38.62831705,-75.81999372,9/22/2020,10:46:29
38.628309,-75.81999792,9/22/2020,10:46:30
38.62830096,-75.82000213,9/22/2020,10:46:31
38.62829292,-75.82000633,9/22/2020,10:46:32
38.62828487,-75.82001054,9/22/2020,10:46:33
38.62827683,-75.82001474,9/22/2020,10:46:34
38.62826879,-75.82001895,9/22/2020,10:46:35
38.62826074,-75.82002315,9/22/2020,10:46:36
38.6282527,-75.82002736,9/22/2020,10:46:37
38.62824466,-75.82003157,9/22/2020,10:46:38
38.62823662,-75.82003577,9/22/2020,10:46:39
38.62822857,-75.82003998,9/22/2020,10:46:40
38.62822053,-75.82004418,9/22/2020,10:46:41
38.62821249,-75.82004839,9/22/2020,10:46:42
38.62820444,-75.82005259,9/22/2020,10:46:43
38.6281964,-75.8200568,9/22/2020,10:46:44
38.62818748,-75.82005627,9/22/2020,10:46:45
38.62817857,-75.82005575,9/22/2020,10:46:46
38.62816965,-75.82005522,9/22/2020,10:46:47
38.62816073,-75.8200547,9/22/2020,10:46:48
38.62815182,-75.82005417,9/22/2020,10:46:49
38.6281429,-75.82005365,9/22/2020,10:46:50
38.62813398,-75.82005312,9/22/2020,10:46:51
38.62812506,-75.82005259,9/22/2020,10:46:52
38.62811615,-75.82005207,9/22/2020,10:46:53
38.62810723,-75.82005154,9/22/2020,10:46:54
38.62809831,-75.82005102,9/22/2020,10:46:55
38.6280894,-75.82005049,9/22/2020,10:46:56
38.62808048,-75.82004997,9/22/2020,10:46:57
38.62807156,-75.82004944,9/22/2020,10:46:58
38.62806265,-75.82004891,9/22/2020,10:46:59
38.62805373,-75.82004839,9/22/2020,10:47:00
38.62804481,-75.82004786,9/22/2020,10:47:01
38.6280359,-75.82004734,9/22/2020,10:47:02
38.62802698,-75.82004681,9/22/2020,10:47:03
38.62801806,-75.82004628,9/22/2020,10:47:04
38.62800914,-75.82004576,9/22/2020,10:47:05
38.62800023,-75.82004523,9/22/2020,10:47:06
38.62799131,-75.82004471,9/22/2020,10:47:07
38.62798239,-75.82004418,9/22/2020,10:47:08
38.62797348,-75.82004366,9/22/2020,10:47:09
38.62796456,-75.82004313,9/22/2020,10:47:10
38.62795547,-75.82004193,9/22/2020,10:47:11
38.62794639,-75.82004074,9/22/2020,10:47:12
38.6279373,-75.82003954,9/22/2020,10:47:13
38.62792822,-75.82003835,9/22/2020,10:47:14
38.62791913,-75.82003715,9/22/2020,10:47:15
