"from","to","distance_m"
"2.3 Yellow House","4.8 Red Bank",20117
"2.3 Yellow House","4.9 Marshyhope confluence",21974
"2.8 Marshyhope/Wright","2.8 Marshyhope/Wright",0
"2.8 Marshyhope/Wright","2.8 Wright",0
"2.8 Marshyhope/Wright","3.9 Pump House",1165
"2.8 Marshyhope/Wright","Marshyhope/Grey Cabin",2064
"2.8 Marshyhope/Wright","3 Marshyhope/Grey Cabin",2064
"2.8 Marshyhope/Wright","3 Palmer's Mill",2064
"2.8 Marshyhope/Wright","3.2 Marshyhope/Below 392 Bridge",4365
"2.8 Marshyhope/Wright","3.2 Below 392 Bridge",4365
"2.8 Marshyhope/Wright","3.4 Marshyhope/Puckums Branch",6853
"2.8 Marshyhope/Wright","3.4 Puckum's Branch",6853
"2.8 Marshyhope/Wright","3.6 Marshyhope/Below Puckum's Branch",9186
"2.8 Marshyhope/Wright","3.6 Below Puckum's Branch",9186
"2.8 Marshyhope/Wright","3.8 Marshyhope/Above Brookview Bridge",10997
"2.8 Marshyhope/Wright","3.8 Above Brookview Bridge",10997
"2.8 Marshyhope/Wright","Marshyhope/Brookview buoy",11488
"2.8 Marshyhope/Wright","4 Marshyhope/Brookview buoy",12297
"2.8 Marshyhope/Wright","4 Brookview buoy",12297
"2.8 Marshyhope/Wright","4.2 Below Brookview",13688
"2.8 Marshyhope/Wright","4.2 Marshyhope/Below Brookview",13688
"2.8 Marshyhope/Wright","4.4 Above Walnut Landing Rd.",14985
"2.8 Marshyhope/Wright","4.4 Marshyhope/Above Walnut Landing Rd.",14985
"2.8 Marshyhope/Wright","4.4 Above Walnut Landing",14985
"2.8 Marshyhope/Wright","4.6 Walnut Landing Rd.",16299
"2.8 Marshyhope/Wright","4.8 Red Bank",18336
"2.8 Marshyhope/Wright","4.9 Marshyhope confluence",20194
"2.8 Wright","2.8 Wright",0
"2.8 Wright","3.9 Pump House",1165
"2.8 Wright","Marshyhope/Grey Cabin",2064
"2.8 Wright","3 Marshyhope/Grey Cabin",2064
"2.8 Wright","3 Palmer's Mill",2064
"2.8 Wright","3.2 Marshyhope/Below 392 Bridge",4365
"2.8 Wright","3.2 Below 392 Bridge",4365
"2.8 Wright","3.4 Marshyhope/Puckums Branch",6853
"2.8 Wright","3.4 Puckum's Branch",6853
"2.8 Wright","3.6 Marshyhope/Below Puckum's Branch",9186
"2.8 Wright","3.6 Below Puckum's Branch",9186
"2.8 Wright","3.8 Marshyhope/Above Brookview Bridge",10997
"2.8 Wright","3.8 Above Brookview Bridge",10997
"2.8 Wright","Marshyhope/Brookview buoy",11488
"2.8 Wright","4 Marshyhope/Brookview buoy",12297
"2.8 Wright","4 Brookview buoy",12297
"2.8 Wright","4.2 Below Brookview",13688
"2.8 Wright","4.2 Marshyhope/Below Brookview",13688
"2.8 Wright","4.4 Above Walnut Landing Rd.",14985
"2.8 Wright","4.4 Marshyhope/Above Walnut Landing Rd.",14985
"2.8 Wright","4.4 Above Walnut Landing",14985
"2.8 Wright","4.6 Walnut Landing Rd.",16299
"2.8 Wright","4.8 Red Bank",18336
"2.8 Wright","4.9 Marshyhope confluence",20194
"3.9 Pump House","3.9 Pump House",0
"3.9 Pump House","Marshyhope/Grey Cabin",899
"3.9 Pump House","3 Marshyhope/Grey Cabin",899
"3.9 Pump House","3 Palmer's Mill",899
"3.9 Pump House","3.2 Marshyhope/Below 392 Bridge",3200
"3.9 Pump House","3.2 Below 392 Bridge",3200
